FECHA,UTILH00,UTILH03,UTILH06,UTILH09,UTILH12,UTILH15,UTILH18,UTILH21,ANNO,MES,DIA,DIASEM
2015-04-01,2.37691341529932e-05,0.0009632754367265,0.269192950325012,0.681147073394082,0.723706333598547,0.317354220147219,0.0002126712003162,2.5020141213677e-05,2015,4,1,2
2015-04-02,2.00161129709416e-05,0.0015687628540975,0.365859516911113,0.753916903107001,0.742582779137205,0.300932250461622,0.0008444297659615,2.00161129709416e-05,2015,4,2,3
2015-04-03,2.12671200316255e-05,0.0019928542476693,0.34422960483189,0.730750754357258,0.634313122063261,0.235682224190473,0.000486641746606,1.75140988495739e-05,2015,4,3,4
2015-04-04,2.12671200316255e-05,0.001095882185159,0.245038505997328,0.667439789030169,0.662340684250822,0.305698587362827,0.0013098043925359,2.12671200316255e-05,2015,4,4,5
2015-04-05,2.00161129709416e-05,0.0019815951841232,0.358813845145342,0.719171433003568,0.673028037570244,0.248790276172319,0.0009695304720299,2.25181270923093e-05,2015,4,5,6
2015-04-06,2.12671200316255e-05,0.0008394257377188,0.218021757514799,0.626925925369923,0.666162510821211,0.31366249831114,0.0011696916017394,2.12671200316255e-05,2015,4,6,0
2015-04-07,1.75140988495739e-05,0.0022317965962599,0.311361896326543,0.695837649307693,0.652063661247304,0.30209944004924,0.0008344217094761,2.12671200316255e-05,2015,4,7,1
2015-04-08,2.00161129709416e-05,0.0036704547160464,0.403045701789941,0.774767437787419,0.758073999569654,0.356419417631193,0.0019027817393001,2.25181270923093e-05,2015,4,8,2
2015-04-09,2.12671200316255e-05,0.0045886938985883,0.407838309839421,0.765737668823403,0.735814830938906,0.339847327098314,0.0011409184393436,2.00161129709416e-05,2015,4,9,3
2015-04-10,1.75140988495739e-05,0.0020879307842813,0.292681858896412,0.742181205870726,0.71387091608745,0.285537357572846,0.0008006445188376,2.12671200316255e-05,2015,4,10,4
2015-04-11,2.00161129709416e-05,0.0019615790711522,0.322508369237236,0.67380741496905,0.526811583324576,0.166042414143385,0.0015212245857915,2.37691341529932e-05,2015,4,11,5
2015-04-12,2.5020141213677e-05,0.0034052412191814,0.313373515680123,0.692627565189978,0.695160854487863,0.312157536817138,0.0014586742327573,2.00161129709416e-05,2015,4,12,6
2015-04-13,1.75140988495739e-05,0.0054268686292465,0.383526238622091,0.73402964386331,0.715191979543533,0.323416600363293,0.0017676729767462,2.12671200316255e-05,2015,4,13,0
2015-04-14,2.00161129709416e-05,0.0063200876705748,0.38985508334209,0.741092829727931,0.726758790826615,0.315332592737153,0.0008144055965051,2.25181270923093e-05,2015,4,14,1
2015-04-15,1.87651059102578e-05,0.0060261010113141,0.316489774268286,0.48887729622346,0.380343676659711,0.0822074269787179,0.0001451168190393,2.12671200316255e-05,2015,4,15,2
2015-04-16,1.75140988495739e-05,0.0017839360685351,0.245782855198435,0.445787609025265,0.379467971717232,0.172498861583575,0.0010308298180034,2.37691341529932e-05,2015,4,16,3
2015-04-17,1.87651059102578e-05,0.006600313252168,0.368042524232007,0.665518242184959,0.549817603170552,0.284048659170632,0.0019278018805138,2.12671200316255e-05,2015,4,17,4
2015-04-18,2.00161129709416e-05,0.006338852776485,0.322236900705068,0.633755172914196,0.537423876220357,0.257543572575924,0.0011146472910693,1.75140988495739e-05,2015,4,18,5
2015-04-19,1.87651059102578e-05,0.0048426483319071,0.299147063386026,0.652876815836749,0.562571620154224,0.259845425567582,0.00407953402489,1.75140988495739e-05,2015,4,19,6
2015-04-20,1.75140988495739e-05,0.0078162921151527,0.387515700138612,0.668932240453565,0.665627079799238,0.322285689980434,0.0046087100115593,2.00161129709416e-05,2015,4,20,0
2015-04-21,2.25181270923093e-05,0.0112965937579752,0.409048033667102,0.735562127512648,0.71125506032356,0.285045711797997,0.001823968294477,2.00161129709416e-05,2015,4,21,1
2015-04-22,2.00161129709416e-05,0.0017301427649257,0.104844399741792,0.232669799188347,0.520541535936429,0.306201492201222,0.0046324791457123,1.75140988495739e-05,2015,4,22,2
2015-04-23,2.25181270923093e-05,0.0109237936538914,0.404021487297274,0.726239622896432,0.66294116763995,0.285579891812909,0.0053718243185764,2.00161129709416e-05,2015,4,23,3
2015-04-24,2.25181270923093e-05,0.0111101937059333,0.350327013245663,0.708844369717623,0.598596870480737,0.13174980859592,0.0006705397845265,2.12671200316255e-05,2015,4,24,4
2015-04-25,1.75140988495739e-05,0.0065953092239252,0.269787178678836,0.506496479666131,0.502264322779838,0.216237821446264,0.0023281241399326,2.12671200316255e-05,2015,4,25,5
2015-04-26,2.25181270923093e-05,0.0042609300486891,0.179520764215193,0.454235659706063,0.284436471359444,0.184967648957411,0.0013435815831744,2.00161129709416e-05,2015,4,26,6
2015-04-27,2.5020141213677e-05,0.0094000670539784,0.278640555647296,0.439742742908041,0.542481697766702,0.246596009787879,0.0058084257827551,2.00161129709416e-05,2015,4,27,0
2015-04-28,2.37691341529932e-05,0.0181683755423116,0.460765916562833,0.785962699973479,0.741319262005915,0.273483904543157,0.0030011659385805,1.87651059102578e-05,2015,4,28,1
2015-04-29,2.5020141213677e-05,0.0131956224760933,0.198253343941873,0.455691831924699,0.584354155094851,0.323660546740126,0.0071757765000825,1.50120847282062e-05,2015,4,29,2
2015-04-30,2.5020141213677e-05,0.0128578505697086,0.353081730793289,0.694074980359189,0.640638213762079,0.300774623571975,0.0079351377859176,1.87540110552569e-05,2015,4,30,3
2015-05-01,1.99999750000313e-05,0.0107012366234542,0.275590905511368,0.524716844103945,0.484789394013258,0.278762151547311,0.0029962462546921,1.62499796875254e-05,2015,5,1,4
2015-05-02,2.49999687500391e-05,0.0204937243828445,0.420951973810033,0.700054124932344,0.54868806413992,0.210469736912829,0.0027387465765667,1.87499765625293e-05,2015,5,2,5
2015-05-03,2.24999718750352e-05,0.0098837376453279,0.313523358095802,0.693374133282333,0.637095453630683,0.230748461564423,0.0020537474328157,2.24999718750352e-05,2015,5,3,6
2015-05-04,2.37499703125371e-05,0.0068549914312607,0.226868466414417,0.462005672492909,0.309632112959859,0.0960511299360876,0.0016924978843776,1.87499765625293e-05,2015,5,4,0
2015-05-05,1.74999781250273e-05,0.0036487454390682,0.198853501433123,0.548166814791482,0.53250058437427,0.135399830750212,0.0072449909437613,1.74999781250273e-05,2015,5,5,1
2015-05-06,2.6249967187541e-05,0.0238312202109747,0.442124447344441,0.740716574104282,0.712880358899551,0.36006579991775,0.0085649892937633,2.24999718750352e-05,2015,5,6,2
2015-05-07,1.87499765625293e-05,0.0200287249640938,0.385257018428727,0.68638539201826,0.666591666760417,0.344312069609913,0.0133512333109584,1.87499765625293e-05,2015,5,7,3
2015-05-08,1.99999750000313e-05,0.0222687221640973,0.432069459913175,0.748765314043358,0.680114149857313,0.312547109316113,0.010227487215641,2.37499703125371e-05,2015,5,8,4
2015-05-09,1.87499765625293e-05,0.0235324705844118,0.425230718461602,0.740356574554282,0.717100353624558,0.366065792417759,0.012164984793769,1.99999750000313e-05,2015,5,9,5
2015-05-10,2.37499703125371e-05,0.013751232810959,0.382580771774035,0.691057886177642,0.694967881290149,0.357092053634933,0.0090449886937641,2.24999718750352e-05,2015,5,10,6
2015-05-11,2.12499734375332e-05,0.0257162178547277,0.411453235683455,0.685820392724509,0.664786669016664,0.319937100078625,0.0143799820250225,2.12499734375332e-05,2015,5,11,0
2015-05-12,2.24999718750352e-05,0.0280624649219188,0.422378222027223,0.727569090538637,0.708047864940169,0.358267052166185,0.0129862337672078,1.62499796875254e-05,2015,5,12,1
2015-05-13,2.24999718750352e-05,0.0204187244765944,0.34704581619273,0.617254228432215,0.572153034808707,0.201513498108127,0.0036437454453181,2.12499734375332e-05,2015,5,13,2
2015-05-14,2.12499734375332e-05,0.010882486396892,0.199271000911249,0.559068051164936,0.555788055264931,0.127646090442387,0.0012562484296894,1.62499796875254e-05,2015,5,14,3
2015-05-15,2.49999687500391e-05,0.0277487153141059,0.436574454281932,0.744114069857413,0.661299173376033,0.313049608687989,0.0115937355078306,1.99999750000313e-05,2015,5,15,4
2015-05-16,2.12499734375332e-05,0.030687461640673,0.407654490431887,0.687229140963574,0.721495348130815,0.371665785417768,0.0169324788344015,1.99999750000313e-05,2015,5,16,5
